,0,1
113,здесь,[4618]
114,голова,[4612]
115,лицо,[4604]
116,сейчас,[4597]
117,место,[4564]
118,тут,[4546]
119,любить,[4542]
120,хотя,[4537]
121,всегда,[4532]
122,отец,[4482]
123,жить,[4478]
124,тоже,[4469]
125,перед,[4440]
126,несколько,[4425]
127,лишь,[4407]
128,делать,[4384]
129,конец,[4351]
130,можно,[4264]
131,при,[4235]
132,какой-то,[4220]
133,иметь,[4190]
134,ну,[4104]
135,новый,[4018]
136,идти,[4006]
137,написать,[3991]
138,увидеть,[3967]
139,последний,[3945]
140,спросить,[3932]
141,дать,[3930]
142,пока,[3875]
143,любовь,[3874]
144,смотреть,[3869]
145,понять,[3838]
146,более,[3833]
147,что-то,[3832]
148,почему,[3789]
149,ребёнок,[3766]
150,надо,[3738]
151,прийти,[3736]
152,час,[3676]
153,маленький,[3640]
154,комната,[3632]
155,конечно,[3588]
156,сидеть,[3579]
157,вид,[3576]
158,понимать,[3560]
159,сегодня,[3546]
160,минута,[3528]
161,снова,[3526]
162,совсем,[3398]
163,работа,[3367]
164,много,[3329]
165,сердце,[3303]
166,над,[3295]
167,книга,[3233]
168,дверь,[3232]
169,однако,[3229]
170,мысль,[3224]
171,уж,[3215]
172,будто,[3182]
173,вернуться,[3174]
174,остаться,[3170]
175,взять,[3166]
176,вдруг,[3159]
177,никто,[3157]
178,душа,[3147]
179,сила,[3135]
180,хорошо,[3132]
181,всякий,[3109]
182,свет,[3099]
183,почти,[3083]
184,сторона,[3072]
185,правда,[3064]
186,между,[3054]
187,тема,[3050]
188,найти,[3036]
189,слишком,[3012]
190,чувствовать,[2985]
191,бог,[2985]
192,случай,[2977]
193,мир,[2958]
194,ответить,[2953]
195,ночь,[2927]
196,чувство,[2903]
197,дорога,[2902]
198,розить,[2884]
199,пора,[2851]
200,пойти,[2840]
201,выйти,[2790]
202,вместе,[2786]
203,мать,[2778]
204,три,[2775]
205,получить,[2753]
206,узнать,[2750]
207,считать,[2742]
208,нужно,[2695]
209,читать,[2686]
210,мисс,[2671]
211,стоять,[2613]
212,вопрос,[2600]
213,решить,[2599]
214,смочь,[2594]
215,ждать,[2560]
216,совершенно,[2560]
217,имя,[2541]
218,мама,[2533]
219,больший,[2529]
220,оказаться,[2519]
221,подумать,[2519]
222,оно,[2488]
223,мужчина,[2463]
224,прийтись,[2462]
225,именно,[2436]
226,нога,[2428]
227,помнить,[2417]
228,хотеться,[2414]
229,словно,[2405]
230,никакой,[2371]
231,немой,[2347]
232,стол,[2340]
233,вечер,[2335]
234,голос,[2329]
235,мистер,[2327]
236,стоить,[2324]
237,слышать,[2288]
238,полный,[2288]
239,рассказать,[2255]
240,хоть,[2245]
241,наконец,[2243]
242,из-за,[2238]
243,м,[2223]
244,просить,[2210]
245,заметить,[2182]
246,бояться,[2179]
247,надеяться,[2178]
248,собственный,[2178]
249,образ,[2162]
250,молодой,[2160]
251,старый,[2154]
252,господин,[2154]
253,взгляд,[2152]
254,вода,[2144]
255,начать,[2138]
256,про,[2138]
257,жена,[2114]
258,сразу,[2097]
259,кроме,[2092]
260,история,[2088]
261,давать,[2087]
262,город,[2079]
263,принять,[2062]
264,вообще,[2047]
265,окно,[2036]
266,оставить,[2019]
267,право,[2012]
268,некоторый,[2006]
269,вещь,[1992]
270,неделя,[1984]
271,деньга,[1980]
272,ибо,[1976]
273,земля,[1976]
274,ответ,[1948]
275,работать,[1943]
276,пройти,[1935]
277,оставаться,[1928]
278,прежде,[1927]
279,немного,[1916]
280,миссис,[1913]
281,столь,[1912]
282,лежать,[1910]
283,пытаться,[1906]
284,посмотреть,[1905]
285,смерть,[1883]
286,сей,[1875]
287,вечером,[1868]
288,прекрасный,[1858]
289,опять,[1848]
290,иногда,[1832]
291,назад,[1821]
292,куда,[1811]
293,доктор,[1811]
294,часть,[1807]
295,приехать,[1806]
296,месяц,[1805]
297,чёрный,[1785]
298,следовать,[1785]
299,счастие,[1777]
300,алекс,[1769]
301,точно,[1768]
302,счастливый,[1761]
303,разговор,[1757]
304,уйти,[1756]
305,разве,[1746]
306,высокий,[1745]
307,оба,[1740]
308,целый,[1740]
309,отношение,[1735]
310,значит,[1733]
311,муж,[1730]
312,следующий,[1723]
313,начало,[1715]
314,сестра,[1711]
315,добрый,[1711]
316,милый,[1711]
317,пусть,[1706]
318,далёкий,[1698]
319,девушка,[1695]
320,дорогой,[1686]
321,случиться,[1685]
322,рассказывать,[1684]
323,вчера,[1681]
324,часто,[1679]
325,пять,[1664]
326,нельзя,[1662]
327,отвечать,[1660]
328,поэтому,[1654]
329,ранний,[1654]
330,возможно,[1649]
331,играть,[1648]
332,рядом,[1647]
333,домой,[1646]
334,забыть,[1645]
335,второй,[1641]
336,улица,[1639]
337,школа,[1634]
338,re,[1633]
339,ходить,[1617]
340,г,[1617]
341,бывать,[1613]
342,сколько,[1613]
343,тело,[1611]
344,сэр,[1611]
345,любой,[1604]
346,мера,[1599]
347,настоящий,[1599]
348,единственный,[1590]
349,плохой,[1579]
350,умереть,[1575]
351,белый,[1572]
352,великий,[1572]
353,долго,[1571]
354,также,[1562]
355,утро,[1557]
356,находиться,[1539]
357,услышать,[1538]
358,кто-то,[1533]
359,сын,[1527]
360,сильный,[1524]
361,путь,[1522]
362,равно,[1518]
363,начинать,[1518]
364,помочь,[1516]
365,брат,[1513]
366,вести,[1512]
367,причина,[1506]
368,дух,[1495]
369,семья,[1493]
370,показаться,[1490]
371,подобный,[1489]
372,действительно,[1487]
373,слушать,[1476]
374,продолжать,[1475]
375,называть,[1475]
376,стена,[1474]
377,собираться,[1474]
378,прямо,[1472]
379,готовый,[1472]
380,желать,[1463]
381,нужный,[1458]
382,странный,[1454]
383,послать,[1451]
384,какой-нибудь,[1445]
385,приходить,[1441]
386,любимый,[1440]
387,состояние,[1435]
388,верить,[1430]
389,язык,[1429]
390,небо,[1428]
391,весьма,[1413]
392,близкий,[1410]
393,сон,[1410]
394,провести,[1409]
395,ум,[1409]
396,живой,[1407]
397,палец,[1400]
398,открыть,[1400]
399,вокруг,[1394]
400,внимание,[1392]
401,нравиться,[1392]
402,особенно,[1382]
403,пол,[1377]
404,наверное,[1374]
405,волос,[1373]
406,желание,[1373]
407,давно,[1366]
408,утром,[1365]
409,слеза,[1364]
410,гора,[1361]
411,спать,[1359]
412,держать,[1344]
413,тысяча,[1328]
414,затем,[1327]
415,бумага,[1324]
416,среди,[1324]
417,двадцать,[1323]
418,чуть,[1323]
419,спрашивать,[1322]
420,огромный,[1314]
421,всё-таки,[1311]
422,что-нибудь,[1310]
423,войти,[1308]
424,возможность,[1304]
425,четыре,[1303]
426,вспомнить,[1302]
427,впрочем,[1297]
428,появиться,[1297]
429,искать,[1294]
430,страх,[1291]
431,бедный,[1285]
432,вполне,[1284]
433,театр,[1283]
434,общий,[1281]
435,похожий,[1281]
436,радость,[1280]
437,попросить,[1280]
438,момент,[1273]
439,вовсе,[1273]
440,завтра,[1270]
441,смысл,[1267]
442,поехать,[1265]
443,плечо,[1261]
444,кровь,[1256]
445,представить,[1256]
446,довольно,[1252]
447,уехать,[1251]
448,красивый,[1250]
449,встреча,[1244]
450,десять,[1243]
451,лёгкий,[1241]
452,почувствовать,[1241]
453,папа,[1241]
454,иной,[1240]
455,однажды,[1239]
456,сообщить,[1239]
457,стараться,[1238]
458,столько,[1238]
459,помощь,[1236]
460,дочь,[1236]
461,принести,[1235]
462,кевин,[1235]
463,речь,[1234]
464,становиться,[1232]
465,выглядеть,[1231]
466,мальчик,[1211]
467,мало,[1210]
468,солнце,[1206]
469,удаться,[1194]
470,ради,[1194]
471,дерево,[1191]
472,родитель,[1187]
473,показать,[1180]
474,против,[1178]
475,едва,[1174]
476,представлять,[1173]
477,вновь,[1172]
478,дневник,[1161]
479,произойти,[1160]
480,подойти,[1153]
481,поскольку,[1153]
482,зачем,[1151]
483,девочка,[1147]
484,достаточно,[1142]
485,удовольствие,[1141]
486,как-то,[1137]
487,труд,[1137]
488,простить,[1136]
489,иначе,[1135]
490,надежда,[1129]
491,выходить,[1129]
492,картина,[1128]
493,цвет,[1123]
494,прислать,[1123]
495,длинный,[1112]
496,купить,[1111]
497,туда,[1107]
498,разный,[1104]
499,руби,[1104]
500,малый,[1103]
501,её,[1103]
502,ужасный,[1100]
503,ах,[1100]
504,позволить,[1092]
505,скоро,[1090]
506,положить,[1089]
507,вроде,[1089]
508,машина,[1089]
509,успеть,[1089]
510,остальной,[1082]
511,воздух,[1081]
512,происходить,[1080]
513,отправиться,[1074]
514,объяснить,[1071]
515,принимать,[1069]
516,грудь,[1061]
517,губа,[1060]
518,война,[1060]
519,обед,[1058]
520,париж,[1055]
521,взглянуть,[1053]
522,сад,[1052]
523,роман,[1050]
524,заниматься,[1048]
525,ехать,[1045]
526,дама,[1045]
527,глубокий,[1040]
528,важный,[1040]
529,смеяться,[1040]
530,третий,[1038]
531,знакомый,[1036]
532,глава,[1033]
533,заставить,[1031]
534,копия,[1030]
535,остановиться,[1029]
536,вместо,[1029]
537,долгий,[1027]
538,звать,[1027]
539,бросить,[1026]
540,пожалуйста,[1026]
541,дата,[1026]
542,встать,[1025]
543,сюда,[1021]
544,черта,[1019]
545,крайний,[1017]
546,лондон,[1016]
547,приходиться,[1012]
548,разумеется,[1012]
549,постель,[1011]
550,глядеть,[1009]
551,шаг,[1009]
552,уметь,[1008]
553,скорее,[1008]
554,простой,[1004]
555,ветер,[1004]
556,назвать,[1003]
557,менее,[1003]
558,страшный,[1003]
559,квартира,[998]
560,катя,[998]
561,несчастный,[997]
562,платье,[995]
563,порядок,[991]
564,положение,[988]
565,согласиться,[986]
566,ужасно,[986]
567,разговаривать,[983]
568,газета,[982]
569,трудно,[980]
570,ночью,[977]
571,способный,[977]
572,общество,[977]
573,берег,[975]
574,главный,[973]
575,позвонить,[973]
576,быстро,[972]
577,человеческий,[971]
578,повод,[970]
579,поставить,[968]
580,леди,[968]
581,секунда,[966]
582,возвращаться,[965]
583,страна,[964]
584,привести,[963]
585,передать,[960]
586,обычно,[959]
587,красный,[959]
588,поднять,[955]
589,море,[955]
590,пара,[954]
591,поверить,[950]
592,«я,[950]
593,пьеса,[949]
594,б,[946]
595,гость,[945]
596,предложить,[944]
597,например,[942]
598,уходить,[937]
599,ужас,[937]
600,госпожа,[937]
601,рот,[935]
602,потерять,[935]
603,поздний,[932]
604,плакать,[929]
605,подняться,[928]
606,сначала,[925]
607,ожидать,[924]
608,боль,[921]
609,больной,[909]
610,около,[905]
611,чистый,[905]
612,приятный,[905]
613,встретиться,[904]
614,мнение,[903]
615,брать,[903]
616,уверенный,[902]
617,существовать,[895]
618,судьба,[895]
619,английский,[894]
620,известный,[891]
621,ж,[890]
622,нос,[890]
623,являться,[890]
624,граф,[890]
625,далее,[888]
626,тайна,[887]
627,сильно,[884]
628,тёмный,[880]
629,будущее,[879]
630,прочесть,[878]
631,спокойный,[876]
632,стих,[876]
633,уверить,[876]
634,неужели,[875]
635,касаться,[870]
636,попасть,[870]
637,похоже,[868]
638,верный,[866]
639,спасибо,[866]
640,спина,[865]
641,искусство,[863]
642,учитель,[862]
643,джон,[861]
644,обещать,[860]
645,колено,[859]
646,впервые,[857]
647,прошлый,[856]
648,русский,[851]
649,далеко,[851]
650,цель,[850]
651,прочитать,[848]
652,кстати,[847]
653,гораздо,[847]
654,господь,[846]
655,род,[845]
656,план,[843]
657,память,[843]
658,невозможно,[842]
659,существо,[842]
660,пить,[842]
661,проводить,[842]
662,одежда,[841]
663,вино,[840]
664,встретить,[836]
665,полагать,[835]
666,парень,[833]
667,игра,[831]
668,век,[830]
669,вызвать,[830]
670,хозяин,[829]
671,впечатление,[825]
672,ухо,[825]
673,откуда,[825]
674,ничто,[824]
675,несмотря,[823]
676,число,[822]
677,церковь,[822]
678,сомнение,[819]
679,природа,[818]
680,произнести,[817]
681,тяжёлый,[814]
682,камень,[811]
683,находить,[811]
684,ясно,[807]
685,музыка,[807]
686,перестать,[807]
687,поговорить,[806]
688,вспоминать,[806]
689,роль,[804]
690,легко,[802]
691,пустой,[801]
692,отказаться,[801]
693,воля,[800]
694,огонь,[800]
695,элиот,[799]
696,покой,[798]
697,обычный,[794]
698,некий,[793]
699,звук,[793]
700,особый,[790]
701,признаться,[788]
702,дождь,[787]
703,вскоре,[786]
704,тень,[786]
705,странно,[784]
706,видно,[784]
707,испытывать,[782]
708,требовать,[782]
709,рассказ,[782]
710,двор,[782]
711,нечто,[779]
712,анна,[779]
713,половина,[777]
714,встречаться,[775]
715,класс,[771]
716,выражение,[771]
717,мел,[770]
718,де,[770]
719,получать,[769]
720,никак,[769]
721,бабаджи,[768]
722,решение,[767]
723,небольшой,[766]
724,известно,[765]
725,бежать,[764]
726,либо,[764]
727,плохо,[764]
728,сесть,[762]
729,понравиться,[762]
730,настолько,[761]
731,лео,[757]
732,носить,[756]
733,старший,[754]
734,болезнь,[753]
735,луна,[751]
736,фотография,[750]
737,поэт,[750]
738,отдать,[750]
739,счёт,[750]
740,обстоятельство,[747]
741,улыбка,[746]
742,нежный,[746]
743,шесть,[745]
744,напоминать,[745]
745,идея,[744]
746,воспоминание,[743]
747,убить,[741]
748,герой,[740]
749,тридцать,[739]
750,сцена,[739]
751,попытаться,[738]
752,река,[737]
753,пригласить,[734]
754,кровать,[733]
755,страшно,[733]
756,кто-нибудь,[732]
757,слуга,[732]
758,знак,[730]
759,красота,[729]
760,профессор,[728]
761,принадлежать,[727]
762,номер,[726]
763,молчать,[725]
764,предмет,[724]
765,рождение,[722]
766,форма,[722]
767,старик,[721]
768,совет,[721]
769,эмми,[721]
770,поле,[720]
771,событие,[717]
772,свободный,[716]
773,проходить,[715]
774,движение,[715]
775,лестница,[715]
776,жак,[715]
777,пожалуй,[714]
778,прекрасно,[714]
779,отчаяние,[713]
780,вниз,[712]
781,многие,[712]
782,упасть,[712]
783,врач,[712]
784,постоянно,[710]
785,звонить,[710]
786,судить,[709]
787,хватать,[707]
788,относиться,[706]
789,множество,[705]
790,обнаружить,[704]
791,по-моему,[704]
792,начаться,[703]
793,мимо,[703]
794,край,[701]
795,холодный,[700]
796,автор,[700]
797,подарок,[700]
798,народ,[698]
799,наблюдать,[696]
800,урок,[696]
801,вероятно,[694]
802,телефон,[692]
803,собака,[689]
804,учиться,[688]
805,мода,[686]
806,улыбнуться,[685]
807,зелёный,[682]
808,страница,[682]
809,сквозь,[682]
810,лес,[681]
811,цветок,[680]
812,очевидный,[679]
813,интерес,[679]
814,прежний,[679]
815,явиться,[676]
816,насколько,[675]
817,наверно,[674]
818,1,[673]
819,кричать,[673]
820,ощущение,[673]
821,серьёзный,[673]
822,лето,[672]
823,тонкий,[672]
824,чужой,[670]
825,ненавидеть,[670]
826,зато,[670]
827,писатель,[670]
828,закон,[669]
829,достойный,[669]
830,кухня,[668]
831,художник,[668]
832,сентябрь,[667]
833,исчезнуть,[666]
834,лист,[666]
835,кабинет,[666]
836,название,[665]
837,2,[665]
838,связь,[665]
839,скорый,[663]
840,сомневаться,[663]
841,проблема,[663]
842,чей,[663]
843,спокойно,[661]
844,собраться,[661]
845,честь,[661]
846,джордж,[659]
847,угол,[657]
848,тихий,[656]
849,снять,[655]
850,страдать,[655]
851,подруга,[653]
852,мгновение,[653]
853,жаль,[653]
854,французский,[652]
855,детский,[652]
856,заговорить,[651]
857,многий,[649]
858,успех,[648]
859,главное,[647]
860,родиться,[644]
861,добавить,[644]
862,улыбаться,[644]
863,поздно,[643]
864,путешествие,[642]
865,служить,[642]
866,власть,[642]
867,закончить,[641]
868,привет,[641]
869,вызывать,[639]
870,отправить,[637]
871,правило,[636]
872,святой,[636]
873,снег,[636]
874,ладный,[636]
875,интересный,[636]
876,итак,[636]
877,роланд,[634]
878,по-прежнему,[633]
879,наверняка,[633]
880,видимо,[630]
881,ужин,[630]
882,бабушка,[629]
883,интересно,[629]
884,ученик,[629]
885,зайти,[628]
886,возраст,[623]
887,устроить,[622]
888,показывать,[620]
889,захотеть,[618]
890,течение,[618]
891,медленно,[616]
892,когда-нибудь,[616]
893,обратно,[616]
894,миша,[616]
895,помогать,[615]
896,пример,[615]
897,приняться,[615]
898,зал,[614]
899,кожа,[614]
900,долг,[614]
901,дедушка,[613]
902,глубина,[613]
903,характер,[612]
904,кресло,[612]
905,покинуть,[610]
906,немедленно,[610]
907,хватить,[609]
908,адрес,[609]
909,еда,[609]
910,мёртвый,[609]
911,личный,[607]
912,брак,[607]
913,страдание,[607]
914,оставлять,[605]
915,семь,[604]
916,тишина,[604]
917,воскликнуть,[604]
918,благодаря,[603]
919,создать,[603]
920,родный,[601]
921,ноябрь,[601]
922,замечать,[600]
923,зуб,[598]
924,открытый,[598]
925,поступить,[598]
926,воскресение,[597]
927,броситься,[596]
928,присутствие,[595]
929,щека,[595]
930,заставлять,[594]
931,свобода,[594]
932,москва,[593]
933,август,[592]
934,женский,[591]
935,раневский,[591]
936,чтоб,[590]
937,занятие,[589]
938,элли,[587]
939,результат,[585]
940,нечего,[584]
941,сожаление,[584]
942,прошлое,[584]
943,познакомиться,[584]
944,ошибка,[583]
945,ящик,[583]
946,царь,[583]
947,дрожать,[582]
948,глупый,[582]
949,тихо,[581]
950,страсть,[581]
951,древний,[580]
952,лошадь,[580]
953,факт,[579]
954,оказываться,[579]
955,когда-то,[579]
956,мозг,[577]
957,жертва,[577]
958,смех,[576]
959,коридор,[575]
960,получиться,[575]
961,верно,[575]
962,записка,[574]
963,повторять,[574]
964,вперёд,[573]
965,просьба,[573]
966,слабый,[573]
967,несчастие,[573]
968,николай,[572]
969,восемь,[571]
970,служба,[570]
971,называться,[570]
972,весёлый,[570]
973,обращаться,[568]
974,дворец,[567]
975,отель,[566]
976,тон,[566]
977,шум,[564]
978,насчёт,[564]
979,необходимый,[563]
980,золотой,[563]
981,угодный,[563]
982,замечательный,[562]
983,англия,[562]
984,состоять,[562]
985,звучать,[560]
986,след,[560]
987,здоровье,[560]
988,обратиться,[559]
989,запах,[558]
990,дружба,[558]
991,сорок,[557]
992,суметь,[557]
993,очередь,[557]
994,пользоваться,[557]
995,восторг,[557]
996,многое,[557]
997,октябрь,[557]
998,качество,[556]
999,приятно,[556]
1000,означать,[554]
1001,способ,[554]
1002,ной,[554]
1003,предложение,[553]
1004,замок,[552]
1005,детство,[551]
1006,явно,[551]
1007,часы,[551]
1008,запись,[551]
1009,подарить,[551]
1010,дойти,[551]
1011,макс,[551]
1012,богатый,[551]
1013,слава,[550]
1014,ночной,[549]
1015,молчание,[547]
1016,декабрь,[547]
1017,песня,[547]
1018,карман,[546]
1019,настроение,[546]
1020,внезапно,[545]
1021,петь,[544]
1022,велеть,[543]
1023,кэти,[543]
1024,сие,[542]
1025,деревня,[542]
1026,остров,[541]
1027,стул,[541]
1028,короткий,[540]
1029,недавно,[540]
1030,литература,[540]
1031,достать,[539]
1032,вкус,[539]
1033,напротив,[539]
1034,одиночество,[538]
1035,действие,[538]
1036,чай,[536]
1037,описать,[536]
1038,сознание,[536]
1039,вечный,[535]
1040,суд,[535]
1041,магазин,[534]
1042,позволять,[534]
1043,3,[534]
1044,возле,[532]
1045,свидание,[532]
1046,фраза,[531]
1047,бледный,[529]
1048,булгаков,[528]
1049,где-то,[526]
1050,навсегда,[525]
1051,измениться,[525]
1052,вера,[525]
1053,двое,[525]
1054,отсюда,[525]
1055,средство,[524]
1056,печальный,[524]
1057,капитан,[524]
1058,закрыть,[523]
1059,поездка,[522]
1060,юный,[522]
1061,толпа,[522]
1062,любезный,[521]
1063,тотчас,[521]
1064,удар,[520]
1065,поведение,[520]
1066,шея,[520]
1067,держаться,[520]
1068,спасть,[519]
1069,повторить,[519]
1070,непременно,[519]
1071,подходить,[518]
1072,прощать,[518]
1073,ред,[518]
1074,дэвид,[518]
1075,необходимо,[516]
1076,истинный,[516]
1077,рада,[515]
1078,вынудить,[515]
1079,слегка,[514]
1080,выбрать,[512]
1081,пропасть,[512]
1082,кивнуть,[512]
1083,франц,[512]
1084,правый,[511]
1085,почта,[511]
1086,придумать,[510]
1087,кончиться,[510]
1088,точка,[510]
1089,лорд,[509]
1090,представление,[508]
1091,рабочий,[508]
1092,май,[507]
1093,мечтать,[507]
1094,беседа,[506]
1095,уважение,[506]
1096,постараться,[505]
1097,занятый,[505]
1098,подать,[505]
1099,выше,[505]
1100,попытка,[505]
1101,новость,[505]
1102,падуб,[505]
1103,пчела,[504]
1104,глубоко,[502]
1105,кой,[501]
1106,умный,[500]
1107,полностью,[499]
1108,привыкнуть,[499]
1109,дурной,[499]
1110,приезжать,[497]
1111,проснуться,[496]
1112,отъезд,[496]
1113,волна,[496]
1114,следить,[496]
1115,воображение,[495]
1116,обязать,[495]
1117,значение,[494]
1118,храм,[494]
1119,виноватый,[493]
1120,грязный,[492]
1121,4,[492]
1122,действовать,[492]
1123,связать,[492]
1124,экипаж,[492]
1125,питер,[492]
1126,директор,[491]
1127,ход,[491]
1128,изменить,[490]
1129,ключ,[490]
1130,хозяйка,[490]
1131,приносить,[489]
1132,утверждать,[488]
1133,прим,[488]
1134,июнь,[488]
1135,совершить,[488]
1136,тётя,[488]
1137,звезда,[487]
1138,широкий,[486]
1139,наступить,[486]
1140,возникнуть,[486]
1141,частый,[485]
1142,степень,[485]
1143,ставить,[485]
1144,спасти,[485]
1145,ван,[485]
1146,причём,[483]
1147,немецкий,[482]
1148,гостиница,[482]
1149,сто,[481]
1150,беда,[481]
1151,достигнуть,[481]
1152,крик,[480]
1153,устать,[480]
1154,март,[480]
1155,падать,[480]
1156,одинокий,[479]
1157,мелкий,[479]
1158,дядюшка,[479]
1159,шутка,[478]
1160,быстрый,[478]
1161,июль,[478]
1162,нести,[477]
1163,опыт,[476]
1164,поезд,[475]
1165,свадьба,[475]
1166,спустя,[474]
1167,статья,[474]
1168,рад,[473]
1169,обратить,[472]
1170,журнал,[472]
1171,повернуться,[472]
1172,компания,[472]
1173,звонок,[471]
1174,круг,[471]
1175,подозревать,[471]
1176,стихотворение,[470]
1177,убедить,[470]
1178,удивительный,[470]
1179,тёплый,[470]
1180,иметься,[470]
1181,тюрьма,[470]
1182,неожиданно,[469]
1183,миг,[469]
1184,заявить,[469]
1185,портрет,[469]
1186,голкомба,[469]
1187,выпить,[468]
1188,появляться,[468]
1189,лететь,[467]
1190,обладать,[467]
1191,мешать,[466]
1192,серьёзно,[465]
1193,ворота,[465]
1194,17,[464]
1195,граница,[464]
1196,забота,[464]
1197,почему-то,[463]
1198,случаться,[463]
1199,кое-что,[463]
1200,объявить,[462]
1201,учёный,[462]
1202,опасность,[462]
1203,поцеловать,[461]
1204,посылать,[461]
1205,вернуть,[461]
1206,возвращение,[460]
1207,ясный,[460]
1208,признать,[460]
1209,счесть,[460]
1210,вечно,[459]
1211,библиотека,[459]
1212,рано,[458]
1213,единый,[458]
1214,истина,[458]
1215,тревога,[457]
1216,входить,[457]
1217,трудный,[457]
1218,отчий,[457]
1219,понедельник,[456]
1220,радоваться,[455]
1221,мягкий,[455]
1222,волнение,[454]
1223,фэрлить,[454]
1224,надеть,[453]
1225,суббота,[452]
1226,обязательно,[452]
1227,сосед,[452]
1228,ездить,[452]
1229,холм,[452]
1230,мрачный,[451]
1231,правильно,[451]
1232,учить,[451]
1233,яркий,[450]
1234,лоб,[450]
1235,фамилия,[450]
1236,праздник,[450]
1237,чудесный,[450]
1238,волноваться,[450]
1239,этаж,[449]
1240,вряд,[449]
1241,терять,[449]
1242,встречать,[449]
1243,удивление,[449]
1244,забывать,[449]
1245,одновременно,[448]
1246,ряд,[448]
1247,объяснение,[448]
1248,камера,[448]
1249,ши-ми,[448]
1250,кофе,[447]
1251,элизабет,[447]
1252,здоровый,[446]
1253,тоска,[446]
1254,дядя,[446]
1255,лечь,[445]
1256,клуб,[445]
1257,сохранить,[445]
1258,здание,[444]
1259,научиться,[444]
1260,заключить,[444]
1261,способность,[444]
1262,прогулка,[444]
1263,карта,[443]
1264,важно,[443]
1265,поиск,[443]
1266,хлеб,[443]
1267,иван,[443]
1268,убедиться,[442]
1269,большинство,[442]
1270,оттуда,[442]
1271,редкий,[442]
1272,трава,[442]
1273,пожелать,[442]
1274,сообщение,[441]
1275,член,[441]
1276,птица,[441]
1277,п,[441]
1278,случайно,[440]
1279,отсутствие,[440]
1280,благородный,[440]
1281,существование,[440]
1282,5,[440]
1283,мука,[439]
1284,удивиться,[439]
1285,оттого,[438]
1286,апрель,[438]
1287,зло,[438]
1288,январь,[437]
1289,фигура,[436]
1290,таков,[436]
1291,свежий,[436]
1292,дыхание,[435]
1293,решиться,[435]
1294,протянуть,[435]
1295,чтение,[434]
1296,пятница,[434]
1297,попробовать,[434]
1298,домашний,[434]
1299,супруг,[434]
1300,стремиться,[433]
1301,местный,[433]
1302,гореть,[432]
1303,больница,[430]
1304,пятьдесят,[430]
1305,спуститься,[430]
1306,н,[430]
1307,перо,[430]
1308,жалкий,[430]
1309,замуж,[430]
1310,светлый,[429]
1311,подождать,[429]
1312,ладонь,[428]
1313,висеть,[428]
1314,поцелуй,[428]
1315,схватить,[427]
1316,«не,[427]
1317,кусок,[427]
1318,каков,[427]
1319,бутылка,[426]
1320,левый,[426]
1321,группа,[426]
1322,догадаться,[426]
1323,девять,[425]
1324,открывать,[425]
1325,американский,[425]
1326,внутренний,[425]
1327,поступок,[425]
1328,дикий,[425]
1329,большеносый,[425]
1330,голубой,[424]
1331,спальня,[424]
1332,польза,[424]
1333,мечта,[424]
1334,разрешить,[423]
1335,данный,[423]
1336,вина,[423]
1337,расстаться,[423]
1338,предлагать,[423]
